RCT_ID,Title,Primary Investigator,DOI Number,First registered on,RCT_ID_num
AEARCTR-0000005,Voter Pessimism and Electoral Accountability: Experimental Evidence from Kenya,Kelly Zhang,10.1257/rct.5-8.0,2013-05-21,5
AEARCTR-0000006,Community Based Strategies to Reduce Maternal Mortality in Northern Nigeria,Vandana Sharma,10.1257/rct.6-3.0,2013-05-26,6
AEARCTR-0000008,An Evaluation of Continuous Comprehensive Evaluation and Teaching at the Right Level  ,Esther  Duflo,10.1257/rct.8-1.0,2013-06-15,8
AEARCTR-0000009,Enhancing Local Public Service Delivery: Experimental Evidence on the National Rural Employment Guarantee Scheme in Bihar (BNREGA),Esther  Duflo,10.1257/rct.9-1.0,2013-10-04,9
AEARCTR-0000010,Free DFS - Intervention to fight anemia and improve well-being in a very low income setting,Sharon Barnhardt,10.1257/rct.10-1.0,2013-05-15,10
AEARCTR-0000011,Pricing Experiment - Intervention to fight anemia and improve well-being in a very low income setting,Sharon Barnhardt,10.1257/rct.11-1.0,2013-05-15,11
AEARCTR-0000013,Intervention to fight anemia and improve well-being in a very low income setting,Sharon Barnhardt,10.1257/rct.13-1.0,2013-05-16,13
AEARCTR-0000015,Measuring the Returns to Secondary Education,Esther  Duflo,10.1257/rct.15-2.3,2013-06-15,15
AEARCTR-0000016,Understanding Ethnic Cooperation: Evidence from Experiments in Kenya and Tanzania,Edward Miguel,10.1257/rct.16-1.0,2013-05-28,16
AEARCTR-0000017,Welfare Effects of Unconditional Cash Transfers,Johannes Haushofer,10.1257/rct.17-1.1,2014-12-04,17
AEARCTR-0000019,Welfare Effects of Unconditional Cash Transfers,Johannes Haushofer,10.1257/rct.19-5.0,2013-06-28,19
AEARCTR-0000021,Evaluating the Effect of the Northern Uganda Literacy Project on Literacy and Academic Achievement,Jason Kerwin,10.1257/rct.21-6.0,2013-11-20,21
AEARCTR-0000022,Understanding Male Fertility Preferences in Zambia,Nava Ashraf,10.1257/rct.22-2.0,2019-05-07,22
AEARCTR-0000023,CréaJeunes - Small Business Training ,Esther  Duflo,10.1257/rct.23-1.0,2013-08-26,23
AEARCTR-0000024,Channeling Remittances toward Human Capital Accumulation in Central America,Dean Yang,10.1257/rct.24-1.0,2013-07-22,24
AEARCTR-0000025,Impacts of Seasonality Adjusted Flexible Micro-credit in Northern Bangladesh,Abu Shonchoy,10.1257/rct.25-2.0,2017-08-05,25
AEARCTR-0000026,The Impact of Voter Knowledge Initiatives in Sierra Leone,Katherine Casey,10.1257/rct.26-7.0,2013-07-23,26
AEARCTR-0000027,Does Non-symbolic Math Practice in Young Children Improve Symbolic Mathematics Ability in Later Life?,Esther  Duflo,10.1257/rct.27-10.0,2013-10-04,27
AEARCTR-0000028,The Oregon Health Insurance Experiment,Amy Finkelstein,10.1257/rct.28-12.1,2013-07-17,28
AEARCTR-0000030,Electing to Vote: Strengthening the Credibility of New Kenyan Institutions,Tavneet Suri,10.1257/rct.30-1.0,2014-04-20,30
AEARCTR-0000034,Improving the Quality of Private Sector Health Care in West Bengal,Reshmaan Hussam,10.1257/rct.34-1.0,2013-09-09,34
AEARCTR-0000036,Schooling Income and Health Risk in Malawi,Sarah Baird,10.1257/rct.36-3.0,2013-08-06,36
AEARCTR-0000037,The Impact of Finance on Willingness to Pay for Low-Cost Latrines in Rural Cambodia: Evidence from a Randomized-Controlled Trial,Raymond Guiteras,10.1257/rct.37-2.0,2013-07-30,37
AEARCTR-0000038,The Impact of Performance Based Incentives and Biometric Devices on Improving Tuberculosis Treatment through Community Based Counselors in India,Clara Delavallade,10.1257/rct.38-1.0,2014-08-18,38
AEARCTR-0000039,Using Learning Camps to Improve Basic Learning Outcomes of Primary School Children,Harini Kannan,10.1257/rct.39-1.0,2013-08-12,39
AEARCTR-0000040,"Assessing the Functioning of the Primary Health Centers in Karnataka, India",Rema Hanna,10.1257/rct.40-1.0,2013-08-20,40
AEARCTR-0000041,Improving Life Chances of Disadvantaged Youth: Testing Best-Practice Academic vs. Non-Academic Supports Through a Large-Scale Randomized Control Trial in Chicago ,Jens Ludwig,10.1257/rct.41-1.0,2014-09-12,41
AEARCTR-0000043,Evaluating the Impact of Psychosocial Support and Cash for Work,Niall Keleher,10.1257/rct.43-3.0,2013-10-23,43
AEARCTR-0000045,Commitment Savings Products in the Philippines,Dean Karlan,10.1257/rct.45-3.0,2013-09-16,45
AEARCTR-0000046,Ultra Poor Graduation Pilot in Ethiopia,Dean Karlan,10.1257/rct.46-1.0,2013-09-16,46
AEARCTR-0000047,Testing the Effectiveness of Payments for Ecosystem Services to Reduce Deforestation in Uganda,Seema Jayachandran,10.1257/rct.47-6.0,2013-08-30,47
AEARCTR-0000048,Ultra Poor Graduation Pilot in Pakistan,Dean Karlan,10.1257/rct.48-1.0,2013-09-25,48
AEARCTR-0000049,Framing of Cash Grants,Dean Karlan,10.1257/rct.49-1.0,2014-01-13,49
AEARCTR-0000051,Creative Learning and Teaching evaluation,Rebecca Thornton,10.1257/rct.51-2.0,2014-08-11,51
